CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2023,21:14,QUEENS,11434,40.664616,-73.77216,"(40.664616, -73.77216)",,,145-04    176 STREET,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,4639344,Station Wagon/Sport Utility Vehicle,,,,
06/20/2023,7:53,,,40.77719,-73.95225,"(40.77719, -73.95225)",2 AVENUE,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4639958,Sedan,Bus,,,
06/20/2023,17:42,MANHATTAN,10026,40.802765,-73.95148,"(40.802765, -73.95148)",,,160       WEST 116 STREET,1,0,0,0,0,0,1,0,Outside Car Distraction,,,,,4639392,Motorscooter,,,,
06/20/2023,7:30,MANHATTAN,10036,40.756767,-73.98272,"(40.756767, -73.98272)",WEST 45 STREET,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Other Vehicular,Passing or Lane Usage Improper,,,,4639290,Pick-up Truck,Sedan,,,
06/20/2023,18:15,BRONX,10460,40.840103,-73.88619,"(40.840103, -73.88619)",SOUTHERN BOULEVARD,EAST 176 STREET,,6,0,0,0,0,0,6,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4639483,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
06/20/2023,18:29,BROOKLYN,11207,40.66239,-73.88594,"(40.66239, -73.88594)",HENDRIX STREET,HEGEMAN AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,4639534,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
06/20/2023,20:15,BROOKLYN,11203,40.641304,-73.94276,"(40.641304, -73.94276)",AVENUE D,BROOKLYN AVENUE,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4639412,E-Bike,Sedan,,,
06/20/2023,21:46,,,40.7516,-73.74844,"(40.7516, -73.74844)",HORACE HARDING EXPRESSWAY,230 STREET,,0,0,0,0,0,0,0,0,Cell Phone (hand-Held),Unspecified,Unspecified,Unspecified,,4639641,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
06/20/2023,10:21,BROOKLYN,11220,40.639084,-74.009415,"(40.639084, -74.009415)",7 AVENUE,56 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4639354,Station Wagon/Sport Utility Vehicle,,,,
06/20/2023,17:54,,,40.587074,-74.10393,"(40.587074, -74.10393)",RICHMOND ROAD,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4639559,Taxi,Sedan,,,
06/20/2023,23:19,MANHATTAN,10027,40.81636,-73.954094,"(40.81636, -73.954094)",AMSTERDAM AVENUE,WEST 131 STREET,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4639423,Bike,Taxi,,,
06/20/2023,21:00,,,40.62307,-74.149315,"(40.62307, -74.149315)",,,985       RICHMOND AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4639561,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
